nidn,nama_dosen,email_instansi,jenis_kelamin,id_prodi,jabatan,status_kepegawaian,asal_daerah,id_univ
60000076,"Cut Yunita Pudjiastuti, S.Pd","cut.yunita.pudjiastuti,.s.pd@univ.ac.id",P,PRODI35,Asisten Ahli,Dosen Tetap,Lampung,2
60000077,"Mila Irawan, S.Kom","mila.irawan,.s.kom@univ.ac.id",L,PRODI21,Guru Besar,Dosen Tetap,Kalimantan Timur,2
60000078,"Fathonah Rajata, M.Pd","fathonah.rajata,.m.pd@univ.ac.id",P,PRODI11,Asisten Ahli,Dosen Tetap,Papua,2
60000079,"Genta Kusmawati, S.E.","genta.kusmawati,.s.e.@univ.ac.id",L,PRODI35,Lektor Kepala,Dosen Tetap,Sumatera Barat,2
60000080,"Asman Uyainah, S.I.Kom","asman.uyainah,.s.i.kom@univ.ac.id",P,PRODI36,Lektor,Dosen Tetap,Sumatera Selatan,2
60000081,"Jane Wijaya, S.E.","jane.wijaya,.s.e.@univ.ac.id",L,PRODI13,Asisten Ahli,Dosen Tetap,Papua Barat,2
60000082,Liman Nasyiah,liman.nasyiah@univ.ac.id,P,PRODI32,Lektor,Dosen Tetap,Sulawesi Selatan,2
60000083,Balijan Sirait,balijan.sirait@univ.ac.id,P,PRODI30,Lektor Kepala,Dosen Tetap,Kalimantan Tengah,2
60000084,Puji Usamah,puji.usamah@univ.ac.id,P,PRODI36,Guru Besar,Dosen Tetap,Jawa Tengah,2
60000087,Puji Prakasa,puji.prakasa@univ.ac.id,L,PRODI37,Guru Besar,Dosen Tetap,DKI Jakarta,2
60000092,"KH. Mumpuni Prasetya, M.Kom.","kh..mumpuni.prasetya,.m.kom.@univ.ac.id",L,PRODI09,Lektor,Dosen Tetap,Gorontalo,1
60000094,Kemal Mayasari,kemal.mayasari@univ.ac.id,L,PRODI12,Asisten Ahli,Dosen Tetap,Sumatera Utara,2
60000095,Teguh Mulyani,teguh.mulyani@univ.ac.id,L,PRODI12,Asisten Ahli,Dosen Tetap,Nusa Tenggara Barat,2
60000096,Jaeman Sihombing,jaeman.sihombing@univ.ac.id,P,PRODI23,Guru Besar,Dosen Tetap,Sumatera Selatan,2
60000098,"Jaya Marpaung, M.Farm","jaya.marpaung,.m.farm@univ.ac.id",P,PRODI16,Lektor Kepala,Dosen Tetap,Sulawesi Tenggara,2
