nim,nama,jenis_kelamin,angkatan,status_mahasiswa,id_prodi,asal_daerah,id_univ
240000080,Nadine Laksita,P,2022,Aktif,PRODI16,Kalimantan Barat,2
240000083,Cut Irma Mustofa,P,2024,Nonaktif,PRODI10,Sumatera Selatan,1
240000084,Kawaya Siregar,L,2020,Nonaktif,PRODI32,Sumatera Selatan,2
240000085,Taufan Gunawan,P,2022,Aktif,PRODI29,Sumatera Barat,2
240000086,Waluyo Zulkarnain,L,2021,Aktif,PRODI37,Kalimantan Selatan,2
240000088,drg. Jarwa Riyanti,P,2024,Aktif,PRODI36,Maluku,2
240000089,Emin Firgantoro,P,2024,Aktif,PRODI23,Sulawesi Selatan,2
240000092,Vicky Mulyani,P,2024,Aktif,PRODI29,Bangka Belitung,2
240000094,Ir. Silvia Hassanah,P,2022,Aktif,PRODI14,Jawa Tengah,2
240000096,Novi Nuraini,L,2021,Aktif,PRODI37,Kalimantan Barat,2
240000101,Ani Hutagalung,P,2021,Aktif,PRODI07,Sumatera Utara,2
240000102,dr. Edward Damanik,L,2021,Aktif,PRODI34,Sulawesi Tengah,2
240000108,dr. Juli Rajasa,P,2021,Aktif,PRODI07,Maluku Utara,2
240000111,drg. Anom Situmorang,L,2023,Aktif,PRODI32,Kalimantan Selatan,2
240000112,Hj. Vicky Usamah,L,2021,Aktif,PRODI37,Maluku Utara,2
240000114,Ismail Sirait,L,2020,Aktif,PRODI30,Papua,2
240000115,Opung Saputra,P,2024,Aktif,PRODI16,Sulawesi Utara,2
240000116,Elisa Pranowo,P,2021,Aktif,PRODI21,Kalimantan Timur,2
240000124,Prasetya Nuraini,P,2024,Aktif,PRODI14,Jawa Timur,2
240000126,R.A. Halima Dongoran,P,2020,Lulus,PRODI16,Sumatera Barat,2
240000130,Ir. Ikin Putra,P,2021,Aktif,PRODI21,Sulawesi Barat,2
240000131,Kenes Pranowo,L,2022,Aktif,PRODI04,Nusa Tenggara Barat,1
240000133,Padmi Wibowo,L,2020,Lulus,PRODI36,Sulawesi Selatan,2
240000136,Garda Yuliarti,L,2024,Aktif,PRODI34,DKI Jakarta,2
240000138,Mila Prabowo,L,2020,Lulus,PRODI16,Sulawesi Barat,2
240000140,T. Paiman Yulianti,L,2022,Aktif,PRODI04,Sumatera Barat,1
240000142,Harsaya Utama,L,2024,Aktif,PRODI36,DKI Jakarta,2
240000145,Elvin Pradipta,L,2024,Nonaktif,PRODI30,Bengkulu,2
240000146,R. Betania Salahudin,L,2024,Aktif,PRODI11,Nusa Tenggara Timur,2
240000150,Ir. Tedi Sirait,P,2023,Aktif,PRODI37,Kalimantan Selatan,2
240000152,KH. Sakti Oktaviani,P,2023,Aktif,PRODI14,Lampung,2
240000154,Cakrawangsa Rajasa,P,2021,Cuti,PRODI04,Maluku,1
240000156,Drs. Samiah Zulaika,P,2023,Aktif,PRODI16,Riau,2
240000157,Jaiman Rajata,L,2022,Aktif,PRODI37,Lampung,2
240000158,Dr. Ratih Mandasari,P,2024,Aktif,PRODI37,Sulawesi Tengah,2
240000159,Yessi Mandasari,L,2024,Aktif,PRODI34,Sumatera Barat,2
240000160,dr. Puput Hardiansyah,P,2022,Aktif,PRODI18,Sulawesi Utara,2
240000161,Oni Utami,L,2023,Aktif,PRODI10,Riau,1
240000162,Jarwa Budiman,L,2024,Aktif,PRODI18,Nusa Tenggara Timur,2
240000163,H. Darsirah Nurdiyanti,P,2023,Drop Out,PRODI10,Sumatera Selatan,1
240000164,R.A. Lidya Mulyani,P,2024,Aktif,PRODI32,Papua,2
240000165,Rahman Tarihoran,L,2023,Aktif,PRODI18,Jawa Tengah,2
240000166,drg. Harja Handayani,L,2023,Aktif,PRODI14,Maluku,2
240000167,Dirja Kusumo,L,2021,Aktif,PRODI14,Kepulauan Riau,2
240000169,Ir. Jayeng Napitupulu,L,2022,Aktif,PRODI32,Kalimantan Utara,2
240000172,Ihsan Dongoran,P,2020,Nonaktif,PRODI10,Sulawesi Tenggara,1
240000174,Ir. Cahya Mangunsong,L,2022,Aktif,PRODI29,Kepulauan Riau,2
240000175,Rendy Pudjiastuti,P,2023,Aktif,PRODI16,Sulawesi Selatan,2
240000176,drg. Kunthara Susanti,L,2024,Aktif,PRODI14,Sulawesi Tenggara,2
240000177,Bakiono Sitompul,P,2021,Aktif,PRODI14,Kalimantan Selatan,2
240000178,R.A. Vera Haryanti,L,2021,Aktif,PRODI09,Sumatera Utara,1
240000180,Intan Permata,L,2020,Aktif,PRODI13,Maluku,2
240000181,Ophelia Nasyiah,P,2024,Aktif,PRODI09,Sulawesi Barat,1
240000187,Ratna Marpaung,L,2020,Lulus,PRODI37,Aceh,2
240000190,Jagapati Jailani,L,2024,Aktif,PRODI09,DKI Jakarta,1
240000191,Muni Hardiansyah,L,2021,Aktif,PRODI30,Jawa Barat,2
240000192,Ilsa Suryono,P,2021,Drop Out,PRODI18,Kalimantan Timur,2
240000193,Dwi Kurniawan,P,2023,Aktif,PRODI04,Papua Barat,1
240000194,Yulia Siregar,L,2024,Aktif,PRODI36,Banten,2
240000195,Among Yulianti,L,2024,Aktif,PRODI11,Aceh,2
240000196,Danang Palastri,L,2024,Aktif,PRODI32,Bengkulu,2
240000198,Irwan Wacana,L,2021,Aktif,PRODI27,Kalimantan Utara,2
240000200,Gawati Maheswara,P,2024,Aktif,PRODI11,Nusa Tenggara Barat,2
240000202,Dono Santoso,L,2024,Aktif,PRODI29,Gorontalo,2
240000203,Diana Mahendra,L,2020,Aktif,PRODI34,Sulawesi Tenggara,2
240000205,dr. Prayogo Yolanda,L,2022,Aktif,PRODI21,Kepulauan Riau,2
240000207,Lanjar Irawan,L,2020,Lulus,PRODI34,Maluku,2
240000208,Latika Kusumo,P,2022,Cuti,PRODI14,Kalimantan Selatan,2
240000209,Ir. Ellis Jailani,P,2022,Aktif,PRODI09,Maluku Utara,1
240000210,Intan Hariyah,P,2021,Aktif,PRODI21,Bali,2
240000212,Ulva Prastuti,L,2022,Aktif,PRODI25,Maluku Utara,2
240000214,Kanda Pratama,L,2021,Aktif,PRODI25,Kalimantan Utara,2
240000216,Melinda Maryadi,P,2021,Nonaktif,PRODI13,Bali,2
240000218,Gangsar Padmasari,P,2022,Aktif,PRODI09,Jawa Barat,1
240000220,Mahesa Puspita,P,2024,Aktif,PRODI29,DKI Jakarta,2
240000221,Maria Yolanda,L,2023,Aktif,PRODI07,DI Yogyakarta,2
240000222,R.M. Jais Novitasari,L,2021,Aktif,PRODI25,Kalimantan Barat,2
240000223,Zelaya Natsir,L,2022,Nonaktif,PRODI21,Sulawesi Barat,2
240000225,Icha Ramadan,P,2023,Aktif,PRODI04,Sumatera Selatan,1
240000226,Mulyanto Utami,L,2021,Aktif,PRODI23,Sulawesi Tengah,2
240000231,Septi Narpati,P,2024,Aktif,PRODI10,Jawa Tengah,1
240000232,Farah Gunarto,L,2022,Aktif,PRODI32,Nusa Tenggara Timur,2
240000233,Tgk. Lala Natsir,L,2020,Lulus,PRODI07,Sumatera Barat,2
240000235,Heryanto Lestari,L,2024,Aktif,PRODI09,Banten,1
240000236,Daliono Hardiansyah,P,2024,Aktif,PRODI29,Jawa Timur,2
240000237,Danuja Wahyuni,P,2021,Aktif,PRODI07,DI Yogyakarta,2
240000238,Embuh Purnawati,L,2024,Aktif,PRODI21,Sumatera Barat,2
240000239,Hj. Chelsea Rahayu,L,2022,Aktif,PRODI27,Sulawesi Barat,2
240000240,Shakila Handayani,L,2024,Drop Out,PRODI11,Sulawesi Barat,2
240000241,Ir. Harjo Susanti,P,2020,Lulus,PRODI07,Maluku Utara,2
240000245,Ega Rahmawati,P,2023,Aktif,PRODI35,Bali,2
240000248,Paulin Tarihoran,P,2024,Aktif,PRODI04,Sulawesi Tenggara,1
240000250,Tiara Natsir,L,2023,Aktif,PRODI10,Gorontalo,1
240000252,Hj. Devi Saragih,L,2020,Drop Out,PRODI23,Nusa Tenggara Timur,2
240000255,Hana Sihombing,L,2021,Aktif,PRODI33,Banten,2
240000256,Zahra Yolanda,L,2024,Aktif,PRODI14,Sulawesi Selatan,2
240000257,Julia Santoso,L,2020,Aktif,PRODI07,Nusa Tenggara Barat,2
240000261,Agnes Prastuti,P,2023,Aktif,PRODI25,Banten,2
240000263,Ivan Marpaung,P,2024,Aktif,PRODI09,Gorontalo,1
240000266,R.A. Melinda Hakim,L,2020,Lulus,PRODI10,Bali,1
240000269,Ir. Jasmin Natsir,L,2020,Aktif,PRODI37,Kalimantan Tengah,2
240000270,Cici Pratiwi,L,2023,Aktif,PRODI13,Gorontalo,2
240000273,Yuliana Salahudin,P,2020,Lulus,PRODI35,Jawa Timur,2
240000275,Drs. Jagapati Laksmiwati,L,2024,Aktif,PRODI36,Sumatera Selatan,2
240000276,Lalita Pradana,P,2020,Lulus,PRODI29,DKI Jakarta,2
240000277,Sarah Latupono,L,2023,Aktif,PRODI21,Nusa Tenggara Timur,2
240000278,Adika Pratiwi,P,2024,Aktif,PRODI09,Lampung,1
240000279,Ira Prakasa,L,2020,Lulus,PRODI16,DKI Jakarta,2
240000280,Tgk. Adhiarja Pratama,P,2023,Aktif,PRODI12,Lampung,2
240000282,Bakidin Mandala,P,2020,Cuti,PRODI29,Sulawesi Selatan,2
240000284,R. Cinta Prasasta,P,2024,Aktif,PRODI33,Maluku Utara,2
240000285,Chelsea Prakasa,P,2022,Drop Out,PRODI29,Bali,2
240000286,Maya Firmansyah,L,2022,Aktif,PRODI30,Maluku,2
240000288,Najwa Hidayat,P,2021,Aktif,PRODI37,DI Yogyakarta,2
240000290,Harja Nugroho,P,2023,Aktif,PRODI35,Kalimantan Selatan,2
240000292,Fathonah Mardhiyah,L,2022,Aktif,PRODI13,Sumatera Barat,2
240000295,Puti Kezia Saragih,P,2023,Aktif,PRODI33,Sulawesi Tenggara,2
240000297,Jamalia Hutasoit,L,2023,Aktif,PRODI25,DI Yogyakarta,2
240000298,Martani Mahendra,L,2024,Aktif,PRODI35,Sulawesi Selatan,2
240000299,Tgk. Yoga Wahyuni,P,2023,Aktif,PRODI34,Gorontalo,2
240000301,drg. Karimah Pradipta,P,2024,Aktif,PRODI29,Kalimantan Tengah,2
240000302,Eja Handayani,P,2023,Aktif,PRODI07,Kalimantan Selatan,2
240000304,Bagiya Uyainah,L,2020,Lulus,PRODI34,Jawa Barat,2
240000306,Rusman Simbolon,P,2022,Aktif,PRODI25,Sumatera Barat,2
240000307,Unjani Sinaga,P,2024,Aktif,PRODI21,Kalimantan Barat,2
240000311,Drs. Natalia Uyainah,P,2021,Aktif,PRODI25,DI Yogyakarta,2
240000313,Natalia Rahmawati,P,2023,Nonaktif,PRODI25,Bali,2
240000318,R.A. Kartika Waskita,L,2020,Lulus,PRODI27,Riau,2
240000322,Yusuf Anggraini,P,2022,Cuti,PRODI27,Sulawesi Barat,2
240000324,Yuni Rahayu,L,2024,Aktif,PRODI32,DI Yogyakarta,2
240000325,Puji Siregar,P,2020,Cuti,PRODI37,Sulawesi Selatan,2
240000326,Lukman Suwarno,L,2023,Drop Out,PRODI33,Kalimantan Selatan,2
240000327,Ir. Mahesa Jailani,L,2023,Aktif,PRODI37,Riau,2
240000330,Janet Mandala,P,2022,Aktif,PRODI16,Bangka Belitung,2
240000332,Saka Santoso,L,2021,Aktif,PRODI12,Papua Barat,2
240000336,Kamila Sitorus,L,2023,Cuti,PRODI09,Kalimantan Selatan,1
240000338,Eka Mansur,P,2024,Aktif,PRODI23,Bali,2
240000342,Anastasia Novitasari,L,2024,Aktif,PRODI12,Sulawesi Tengah,2
240000343,Baktianto Lazuardi,P,2021,Aktif,PRODI35,Riau,2
240000346,Ira Mandasari,P,2024,Aktif,PRODI37,Kalimantan Utara,2
240000347,Intan Puspasari,L,2024,Aktif,PRODI37,Sulawesi Selatan,2
240000348,Sarah Nababan,P,2023,Aktif,PRODI34,Bengkulu,2
240000349,R. Gandewa Pratama,L,2020,Lulus,PRODI25,Jawa Timur,2
240000350,Yance Tamba,L,2022,Aktif,PRODI29,Jawa Timur,2
240000352,Shakila Kuswandari,P,2024,Aktif,PRODI25,Papua Barat,2
240000353,Safina Sihombing,L,2020,Lulus,PRODI34,Papua Barat,2
240000356,drg. Talia Laksita,L,2022,Aktif,PRODI30,Sumatera Barat,2
240000357,Purwanto Hastuti,P,2021,Nonaktif,PRODI21,Lampung,2
240000361,Ikhsan Marpaung,P,2024,Aktif,PRODI11,Riau,2
240000362,Natalia Damanik,P,2022,Aktif,PRODI21,Sulawesi Tengah,2
240000363,Estiawan Maheswara,L,2024,Aktif,PRODI35,Jawa Timur,2
240000365,Langgeng Sinaga,P,2022,Aktif,PRODI13,Kalimantan Barat,2
240000366,drg. Martana Tampubolon,L,2021,Aktif,PRODI11,Maluku Utara,2
240000367,Wirda Farida,L,2023,Aktif,PRODI07,Maluku Utara,2
240000368,Najib Pudjiastuti,P,2020,Lulus,PRODI04,DKI Jakarta,1
240000370,Dt. Arta Gunarto,P,2020,Cuti,PRODI34,Aceh,2
240000374,Zulfa Yolanda,P,2020,Drop Out,PRODI36,Lampung,2
240000375,H. Dagel Maheswara,L,2024,Aktif,PRODI12,Sulawesi Barat,2
240000377,Drs. Laras Maryadi,L,2021,Aktif,PRODI13,Papua,2
240000379,Artawan Astuti,L,2022,Nonaktif,PRODI36,Bengkulu,2
240000381,Makuta Damanik,L,2022,Drop Out,PRODI07,Jawa Timur,2
240000383,Galiono Nababan,L,2022,Aktif,PRODI37,Gorontalo,2
240000384,Ivan Hartati,P,2021,Aktif,PRODI11,Gorontalo,2
240000385,Cut Ifa Haryanto,L,2024,Aktif,PRODI34,Aceh,2
240000387,Unjani Thamrin,L,2021,Aktif,PRODI18,Sulawesi Barat,2
240000389,Kenari Maryati,L,2021,Aktif,PRODI21,Kalimantan Barat,2
240000390,drg. Samiah Sinaga,L,2024,Aktif,PRODI09,Sulawesi Selatan,1
240000392,Drajat Budiman,P,2021,Nonaktif,PRODI16,Aceh,2
240000395,Eko Siregar,P,2020,Aktif,PRODI32,Jambi,2
240000396,Budi Safitri,P,2020,Aktif,PRODI33,Aceh,2
240000397,Sutan Nalar Mandasari,L,2022,Aktif,PRODI32,Nusa Tenggara Timur,2
240000400,Damar Maulana,L,2022,Aktif,PRODI30,DI Yogyakarta,2
240000401,Yuliana Narpati,P,2024,Aktif,PRODI25,Sumatera Utara,2
240000403,Natalia Wahyudin,L,2022,Aktif,PRODI27,Sulawesi Tenggara,2
240000405,drg. Karen Lestari,L,2023,Aktif,PRODI37,Kalimantan Barat,2
240000406,Tiara Ramadan,P,2022,Aktif,PRODI11,Sulawesi Barat,2
240000411,Ina Rahmawati,P,2024,Aktif,PRODI13,Kalimantan Tengah,2
240000412,Prakosa Sinaga,L,2023,Aktif,PRODI30,Jambi,2
240000413,Michelle Prastuti,L,2024,Nonaktif,PRODI21,Gorontalo,2
240000415,Raden Winarsih,L,2020,Lulus,PRODI14,Sumatera Utara,2
240000417,R. Chandra Halimah,P,2023,Cuti,PRODI14,DI Yogyakarta,2
240000418,Karya Nugroho,P,2020,Aktif,PRODI11,Sulawesi Selatan,2
240000419,Candra Mahendra,L,2020,Lulus,PRODI35,Kalimantan Timur,2
240000422,Emin Adriansyah,L,2022,Aktif,PRODI37,Maluku Utara,2
240000423,Ir. Chelsea Maulana,P,2022,Cuti,PRODI37,Sumatera Selatan,2
240000425,Ir. Samsul Damanik,P,2021,Aktif,PRODI16,Sulawesi Utara,2
240000427,Koko Suartini,L,2020,Lulus,PRODI33,Kalimantan Utara,2
240000428,Dr. Garang Andriani,P,2021,Aktif,PRODI14,Sulawesi Utara,2
240000429,Kamila Mustofa,L,2024,Aktif,PRODI12,Riau,2
240000433,Murti Rajata,P,2024,Aktif,PRODI23,Banten,2
240000434,Surya Maryadi,L,2023,Aktif,PRODI12,Kalimantan Timur,2
240000437,R. Kemba Saragih,P,2023,Aktif,PRODI23,Banten,2
240000438,Ir. Slamet Utami,L,2020,Lulus,PRODI09,Riau,1
240000439,Dasa Ardianto,L,2024,Aktif,PRODI14,Kalimantan Utara,2
240000444,Puti Yunita Prakasa,L,2024,Aktif,PRODI07,Kalimantan Selatan,2
240000445,Ami Mayasari,L,2021,Aktif,PRODI23,Jawa Tengah,2
240000446,Ir. Ana Prabowo,P,2024,Aktif,PRODI10,Sulawesi Tenggara,1
240000449,Puput Dongoran,P,2021,Aktif,PRODI16,Sulawesi Barat,2
240000451,Raihan Sudiati,P,2021,Aktif,PRODI07,Banten,2
240000453,Latika Melani,L,2020,Aktif,PRODI16,Nusa Tenggara Barat,2
240000455,Gasti Habibi,L,2024,Aktif,PRODI35,Kalimantan Timur,2
240000456,Farah Nuraini,P,2020,Aktif,PRODI32,Banten,2
240000457,Siti Hariyah,L,2023,Aktif,PRODI07,Bengkulu,2
240000458,R.M. Nardi Mayasari,P,2024,Aktif,PRODI04,Kalimantan Barat,1
240000460,Farhunnisa Budiman,L,2023,Cuti,PRODI04,DKI Jakarta,1
240000461,T. Harsanto Sitompul,L,2023,Aktif,PRODI36,Banten,2
240000462,Jaga Padmasari,P,2022,Aktif,PRODI34,Banten,2
240000469,R. Galak Megantara,P,2022,Nonaktif,PRODI30,Papua,2
240000475,Mutia Melani,P,2024,Aktif,PRODI32,Kalimantan Barat,2
240000481,Puti Ella Anggriawan,P,2021,Drop Out,PRODI23,Papua,2
240000482,Hadi Iswahyudi,L,2021,Aktif,PRODI36,Kalimantan Tengah,2
240000483,Jaswadi Maheswara,L,2022,Aktif,PRODI04,Jambi,1
240000484,dr. Ikhsan Dabukke,L,2022,Aktif,PRODI25,Jawa Tengah,2
240000485,Ifa Wijaya,L,2022,Nonaktif,PRODI16,Nusa Tenggara Barat,2
240000486,Mursita Tamba,P,2020,Aktif,PRODI29,Sulawesi Utara,2
240000488,Wahyu Sudiati,L,2024,Aktif,PRODI09,Jawa Timur,1
240000489,Kardi Saptono,P,2021,Aktif,PRODI27,Nusa Tenggara Timur,2
240000493,Julia Winarno,L,2020,Drop Out,PRODI11,Sumatera Utara,2
240000495,T. Balijan Haryanti,P,2023,Aktif,PRODI18,Sulawesi Selatan,2
240000496,Emin Saragih,L,2023,Cuti,PRODI23,Kalimantan Selatan,2
240000497,drg. Edi Nuraini,P,2021,Aktif,PRODI13,Sumatera Barat,2
240000498,Hj. Almira Budiyanto,L,2021,Aktif,PRODI13,Papua,2
240000499,Widya Sihombing,L,2023,Aktif,PRODI25,Sumatera Utara,2
240000501,Hartana Astuti,P,2024,Aktif,PRODI12,Sulawesi Utara,2
240000502,Mursita Habibi,P,2022,Aktif,PRODI34,Bengkulu,2
240000503,Leo Mansur,P,2024,Aktif,PRODI32,Kalimantan Utara,2
240000505,Hani Kuswandari,P,2021,Cuti,PRODI14,Bali,2
240000506,Aris Nababan,P,2020,Lulus,PRODI13,Sulawesi Tengah,2
240000507,Cut Puji Hidayat,L,2024,Aktif,PRODI23,Bengkulu,2
240000509,R. Digdaya Winarsih,L,2024,Aktif,PRODI04,Jambi,1
240000510,Nurul Riyanti,P,2024,Aktif,PRODI09,Nusa Tenggara Barat,1
240000511,Eva Rajasa,L,2021,Aktif,PRODI36,Nusa Tenggara Timur,2
240000512,Hasta Januar,P,2022,Aktif,PRODI14,Bangka Belitung,2
240000517,Alambana Andriani,L,2021,Aktif,PRODI30,Sumatera Utara,2
240000518,Ibrahim Yuliarti,L,2024,Aktif,PRODI12,Jawa Timur,2
240000520,Ira Pranowo,P,2020,Lulus,PRODI32,Kalimantan Timur,2
240000521,R. Nrima Firmansyah,L,2023,Aktif,PRODI33,Maluku Utara,2
240000522,Karta Hariyah,L,2021,Aktif,PRODI32,Sulawesi Tenggara,2
240000523,Reksa Pudjiastuti,P,2023,Aktif,PRODI16,Sulawesi Tenggara,2
240000524,Cayadi Rahmawati,L,2024,Aktif,PRODI23,Sumatera Selatan,2
240000529,Usyi Utama,P,2024,Aktif,PRODI13,Kalimantan Timur,2
240000531,Uli Rahmawati,P,2021,Aktif,PRODI33,Kalimantan Barat,2
240000532,Pia Susanti,L,2020,Lulus,PRODI36,Kalimantan Utara,2
240000533,Cut Ratih Simanjuntak,L,2022,Cuti,PRODI10,Papua Barat,1
240000534,Tgk. Ganda Pudjiastuti,P,2020,Lulus,PRODI25,Papua Barat,2
240000536,Farhunnisa Gunarto,P,2020,Lulus,PRODI16,Jambi,2
240000537,R. Wadi Kusumo,P,2022,Aktif,PRODI36,Bangka Belitung,2
240000538,Yunita Mardhiyah,L,2022,Aktif,PRODI10,Sulawesi Tengah,1
240000542,Darmaji Agustina,P,2020,Lulus,PRODI12,Bali,2
240000547,Ikhsan Irawan,L,2022,Aktif,PRODI21,Jawa Tengah,2
240000549,Titin Situmorang,L,2024,Cuti,PRODI10,Sumatera Barat,1
240000551,Tgk. Wakiman Salahudin,L,2021,Aktif,PRODI27,Bengkulu,2
240000552,Jayadi Habibi,L,2023,Cuti,PRODI23,Papua Barat,2
240000553,dr. Gina Maulana,P,2020,Lulus,PRODI35,Kalimantan Barat,2
240000554,Yessi Pranowo,P,2020,Lulus,PRODI36,Sumatera Selatan,2
240000557,Zahra Marpaung,L,2023,Aktif,PRODI36,Jawa Barat,2
240000558,Amelia Susanti,P,2021,Aktif,PRODI11,Riau,2
240000559,Ulya Wulandari,P,2022,Aktif,PRODI30,Sulawesi Utara,2
240000560,Kania Purwanti,L,2021,Nonaktif,PRODI12,Nusa Tenggara Barat,2
240000563,H. Paiman Ramadan,L,2023,Aktif,PRODI23,Aceh,2
240000567,R.M. Setya Halimah,P,2021,Aktif,PRODI13,Bengkulu,2
240000570,dr. Najwa Astuti,P,2024,Aktif,PRODI30,Sumatera Selatan,2
240000571,T. Prima Mandasari,P,2022,Aktif,PRODI23,Kalimantan Timur,2
240000572,R.A. Citra Astuti,L,2021,Aktif,PRODI27,Riau,2
240000575,R.A. Violet Firmansyah,L,2020,Aktif,PRODI12,Bangka Belitung,2
240000576,Bajragin Thamrin,L,2022,Aktif,PRODI04,Sumatera Utara,1
240000579,Ian Thamrin,L,2021,Aktif,PRODI16,Sulawesi Tenggara,2
240000580,Ir. Darsirah Kuswandari,P,2022,Aktif,PRODI32,Kalimantan Timur,2
240000585,dr. Putri Hartati,P,2023,Cuti,PRODI33,Bangka Belitung,2
240000587,Ir. Teddy Tampubolon,L,2021,Aktif,PRODI14,Nusa Tenggara Timur,2
240000588,drg. Titi Gunarto,L,2021,Aktif,PRODI16,Jawa Barat,2
240000589,Puti Rahmi Latupono,L,2021,Aktif,PRODI16,Papua,2
240000591,Faizah Megantara,P,2021,Aktif,PRODI29,Maluku Utara,2
240000593,dr. Lanjar Damanik,L,2021,Aktif,PRODI12,Kalimantan Barat,2
240000597,Cindy Rajasa,P,2024,Aktif,PRODI10,Bangka Belitung,1
240000598,Nurul Pratama,P,2023,Aktif,PRODI33,Papua,2
240000602,Ir. Artanto Usada,P,2024,Nonaktif,PRODI34,DI Yogyakarta,2
240000603,R.A. Diana Waluyo,P,2024,Aktif,PRODI34,Sulawesi Tengah,2
240000606,Vera Tampubolon,P,2024,Aktif,PRODI33,Kalimantan Tengah,2
240000608,Dt. Garda Ardianto,L,2021,Aktif,PRODI04,Nusa Tenggara Timur,1
240000612,H. Lutfan Lazuardi,P,2024,Aktif,PRODI33,Nusa Tenggara Timur,2
240000613,Cahya Pradipta,P,2023,Aktif,PRODI35,Gorontalo,2
240000614,Ir. Agnes Sitompul,L,2024,Cuti,PRODI21,Riau,2
240000616,dr. Sadina Sihotang,P,2021,Aktif,PRODI37,Kalimantan Timur,2
240000618,Oliva Kusumo,P,2022,Aktif,PRODI09,Nusa Tenggara Timur,1
240000619,T. Jaya Ramadan,P,2024,Nonaktif,PRODI25,Jambi,2
240000620,Dr. Intan Marpaung,P,2021,Aktif,PRODI07,Gorontalo,2
240000621,R.A. Genta Usada,L,2022,Cuti,PRODI25,Sumatera Selatan,2
240000624,Safina Utama,L,2021,Aktif,PRODI36,Kalimantan Utara,2
240000625,Daruna Melani,L,2022,Aktif,PRODI36,Jawa Barat,2
240000628,Cut Salsabila Putra,P,2024,Aktif,PRODI33,Kepulauan Riau,2
